Non-Toxic Mushrooms,#REF!,,,,,Steamed Vegetables,#REF!,3,Yes,Yes
Sievert Beans,#REF!,,,,,Steamed Vegetables,#REF!,3,Yes,Yes
Marrow Flesh,#REF!,,,,,Steamed Vegetables,#REF!,3,Yes,No
Meaty Chunks,#REF!,,,,,Processed Meat,#REF!,2,No,Yes
Meaty Wings,#REF!,,,,,Processed Meat,#REF!,2,No,No
Fiendish Roe,#REF!,,,,,Processed Meat,#REF!,2,No,No
Offal Sac,#REF!,,,,,Processed Meat,#REF!,2,No,No
Proto Sausage,#REF!,,,,,Processed Meat,#REF!,2,No,No
Diplo Chunks,#REF!,,,,,Processed Meat,#REF!,2,No,No
Scaly Meat,#REF!,,,,,Processed Meat,#REF!,2,No,No
Feline Liver,#REF!,,,,,Processed Meat,#REF!,2,No,No
Strider Sausage,#REF!,,,,,Processed Meat,#REF!,2,No,No
Raw Steak,#REF!,,,,,Processed Meat,#REF!,2,No,No
Leg Meat,#REF!,,,,,Processed Meat,#REF!,2,No,No
Meaty Chunks,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,Yes
Meaty Chunks,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,Yes
Processed Meat,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,4,Yes,Yes
Processed Meat,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,4,Yes,Yes
Meaty Wings,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Meaty Wings,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Fiendish Roe,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Fiendish Roe,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Offal Sac,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Offal Sac,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Proto Sausage,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Proto Sausage,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Diplo Chunks,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Diplo Chunks,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Scaly Meat,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Scaly Meat,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Feline Liver,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Feline Liver,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Strider Sausage,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Strider Sausage,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Raw Steak,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Raw Steak,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Leg Meat,#REF!,Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Leg Meat,#REF!,Condensed Carbon,#REF!,,,Smoked Meat,#REF!,3,No,No
Cream,#REF!,,,,,Churned Butter,#REF!,3,No,Kind of
Proto-Cream,#REF!,,,,,Proto-Butter,#REF!,3,No,Kind of
Fresh Milk,#REF!,,,,,Cream,#REF!,2,No,Kind of
Wild Milk,#REF!,,,,,Cream,#REF!,2,No,Kind of
Warm Proto-Milk,#REF!,,,,,Proto-Cream,#REF!,2,No,Kind of
Processed Sugar,#REF!,Salt,#REF!,,,Crunchy Caramel,#REF!,4,Yes,Yes
Root Juice,#REF!,,,,,Crunchy Caramel,#REF!,3,No,No
Churned Butter,#REF!,Churned Butter,#REF!,,,Clarified Oil,#REF!,7,No,Kind of
Churned Butter,#REF!,Proto-Butter,#REF!,,,Clarified Oil,#REF!,7,No,Kind of
Proto-Butter,#REF!,Proto-Butter,#REF!,,,Proto-Oil,#REF!,7,No,Kind of
Refined Flour,#REF!,Churned Butter,#REF!,,,Pastry,#REF!,6,No,Kind of
Refined Flour,#REF!,Proto-Butter,#REF!,,,Pastry,#REF!,6,No,Kind of
Dough,#REF!,,,,,Bread,#REF!,6,No,Yes
Creature Egg,#REF!,Cream,#REF!,Processed Sugar,#REF!,Viscous Custard,#REF!,6,No,Kind of
Tall Eggs,#REF!,Cream,#REF!,Processed Sugar,#REF!,Viscous Custard,#REF!,6,No,Kind of
Giant Eggs,#REF!,Cream,#REF!,Processed Sugar,#REF!,Viscous Custard,#REF!,6,No,Kind of
Salt,#REF!,Cream,#REF!,Processed Sugar,#REF!,Salty Custard,#REF!,6,No,Kind of
Larval Core,#REF!,Cream,#REF!,Processed Sugar,#REF!,Monstrous Custard,#REF!,6,No,No
Silicon Egg,#REF!,Cream,#REF!,Processed Sugar,#REF!,Stellar Custard,#REF!,7,No,Kind of
Larval Core,#REF!,Processed Sugar,#REF!,,,Delicate Meringue,#REF!,4,No,No
Creature Egg,#REF!,Processed Sugar,#REF!,,,Delicate Meringue,#REF!,4,No,Kind of
Tall Eggs,#REF!,Processed Sugar,#REF!,,,Delicate Meringue,#REF!,4,No,Kind of
Giant Eggs,#REF!,Processed Sugar,#REF!,,,Delicate Meringue,#REF!,4,No,Kind of
Clarified Oil,#REF!,Dough,#REF!,Processed Sugar,#REF!,Lumpen Doughnut,#REF!,14,No,Kind of
Proto-Oil,#REF!,Dough,#REF!,Processed Sugar,#REF!,Proto-Beignet,#REF!,14,No,Kind of
Impulse Beans,#REF!,,,,,Bittersweet Cocoa,#REF!,2,No,No
Churned Butter,#REF!,Processed Sugar,#REF!,,,Sweetened Butter,#REF!,6,No,Kind of
Proto-Butter,#REF!,Processed Sugar,#REF!,,,Sweetened Proto-Butter,#REF!,6,No,Kind of
Churned Butter,#REF!,Synthetic Honey,#REF!,,,Honey Butter,#REF!,6,No,Kind of
Proto-Butter,#REF!,Synthetic Honey,#REF!,,,Honied Proto-Butter,#REF!,6,No,Kind of
Proto-Butter,#REF!,Sticky Honey,#REF!,,,Gooey Proto-Butter,#REF!,5,No,Kind of
Churned Butter,#REF!,Sticky Honey,#REF!,,,Gooey Butter,#REF!,5,No,Kind of
Cream,#REF!,WIld Yeast,#REF!,,,Tangy Cheese,#REF!,5,No,Kind of
Proto-Cream,#REF!,WIld Yeast,#REF!,,,Proto-Cheese,#REF!,5,No,Kind of
Refined Flour,#REF!,WIld Yeast,#REF!,,,Dough,#REF!,5,No,Yes
Hexaberry,#REF!,Processed Sugar,#REF!,,,Anomalous Jam,#REF!,4,No,No
Fireberry,#REF!,Processed Sugar,#REF!,,,Ever-burning Jam,#REF!,4,No,No
Grahberry,#REF!,Processed Sugar,#REF!,,,Grahj'am,#REF!,4,No,No
Cactus Nectar,#REF!,Processed Sugar,#REF!,,,Cactus Jelly,#REF!,5,No,Yes
Leopard-Fruit,#REF!,Processed Sugar,#REF!,,,Furball Jelly,#REF!,4,No,Kind of
Crab `Apple`,#REF!,Processed Sugar,#REF!,,,Wriggling Jam,#REF!,4,No,Kind of
Lumpen Doughnut,#REF!,Viscous Custard,#REF!,,,Custard Doughnut,#REF!,21,No,Kind of
Lumpen Doughnut,#REF!,Salty Custard,#REF!,,,Salty Doughnut,#REF!,21,No,Kind of
Lumpen Doughnut,#REF!,Monstrous Custard,#REF!,,,Monstrous Doughnut,#REF!,21,No,No
Lumpen Doughnut,#REF!,Stellar Custard,#REF!,,,The Stellarator,#REF!,22,No,Kind of
Lumpen Doughnut,#REF!,Synthetic Honey,#REF!,,,Honey Doughnut,#REF!,17,No,Kind of
Lumpen Doughnut,#REF!,Sweetened Butter,#REF!,,,Honeybutter Doughnut,#REF!,21,No,Kind of
Lumpen Doughnut,#REF!,Sweetened Proto-Butter,#REF!,,,Honeybutter Doughnut,#REF!,21,No,Kind of
Lumpen Doughnut,#REF!,Honey Butter,#REF!,,,Honeybutter Doughnut,#REF!,21,No,Kind of
Lumpen Doughnut,#REF!,Honied Proto-Butter,#REF!,,,Honeybutter Doughnut,#REF!,21,No,Kind of
Lumpen Doughnut,#REF!,Gooey Proto-Butter,#REF!,,,Gooey Proto-Doughnut,#REF!,20,No,Kind of
Lumpen Doughnut,#REF!,Crunchy Caramel,#REF!,,,Caramel Doughnut,#REF!,18,No,Kind of
Lumpen Doughnut,#REF!,Bittersweet Cocoa,#REF!,,,Cocoa Doughnut,#REF!,17,No,No
Lumpen Doughnut,#REF!,Meaty Chunks,#REF!,,,Proteinous Doughnut,#REF!,16,No,Kind of
Lumpen Doughnut,#REF!,Cactus Jelly,#REF!,,,Jam Doughnut,#REF!,20,Yes,Kind of
Lumpen Doughnut,#REF!,Furball Jelly,#REF!,,,Jam Doughnut,#REF!,19,No,Kind of
Lumpen Doughnut,#REF!,Grahj'am,#REF!,,,Jam Doughnut,#REF!,19,No,No
Lumpen Doughnut,#REF!,Ever-burning Jam,#REF!,,,Jam Doughnut,#REF!,19,No,No
Lumpen Doughnut,#REF!,Wriggling Jam,#REF!,,,Wriggling Doughnut,#REF!,19,No,Kind of
Lumpen Doughnut,#REF!,Anomalous Jam,#REF!,,,Anomalous Doughnut,#REF!,19,No,No
Pastry,#REF!,,,,,Pie Case,#REF!,7,No,Kind of
Pie Case,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Pie,#REF!,9,No,Kind of
Pie Case,#REF!,Processed Meat,#REF!,,,Mystery Meat Pie,#REF!,10,Yes,Kind of
Pie Case,#REF!,Meaty Wings,#REF!,,,Mystery Meat Pie,#REF!,9,No,No
Pie Case,#REF!,Diplo Chunks,#REF!,,,Mystery Meat Pie,#REF!,9,No,No
Pie Case,#REF!,Scaly Meat,#REF!,,,Mystery Meat Pie,#REF!,9,No,No
Pie Case,#REF!,Strider Sausage,#REF!,,,Mystery Meat Pie,#REF!,9,No,No
Pie Case,#REF!,Raw Steak,#REF!,,,Mystery Meat Pie,#REF!,9,No,No
Pie Case,#REF!,Smoked Meat,#REF!,,,Smokey Meat Pie,#REF!,10,No,Kind of
Pie Case,#REF!,Steamed Vegetables,#REF!,,,High-Fibre Pie,#REF!,10,Yes,Kind of
Pie Case,#REF!,Jade Peas,#REF!,,,High-Fibre Pie,#REF!,9,No,No
Pie Case,#REF!,Salty Fingers,#REF!,,,Fish Pie,#REF!,9,No,No
Pie Case,#REF!,Fiendish Roe,#REF!,,,Haunted Pie,#REF!,9,No,No
Pie Case,#REF!,Offal Sac,#REF!,,,Chewy Organ Pie,#REF!,9,No,No
Pie Case,#REF!,Feline Liver,#REF!,,,Chewy Organ Pie,#REF!,9,No,No
Pie Case,#REF!,Proto Sausage,#REF!,,,Proto-Sausage Pie,#REF!,9,No,No
Pie Case,#REF!,Leg Meat,#REF!,,,`Legs-in-Pastry`,#REF!,9,No,No
Pie Case,#REF!,Pilgrimberry,#REF!,,,Fruity Pudding,#REF!,10,Yes,Kind of
Pie Case,#REF!,Grahberry,#REF!,,,Fruity Pudding,#REF!,9,No,No
Pie Case,#REF!,Fireberry,#REF!,,,Glowing Pie,#REF!,9,No,No
Pie Case,#REF!,Solartillo,#REF!,,,Glowing Pie,#REF!,10,Yes,Kind of
Pie Case,#REF!,Sievert Beans,#REF!,,,Glowing Pie,#REF!,10,Yes,Kind of
Pie Case,#REF!,Ever-burning Jam,#REF!,,,Glowing Pie,#REF!,12,Yes,No
Pie Case,#REF!,Non-Toxic Mushrooms,#REF!,,,Fungal Tart,#REF!,10,No,Kind of
Pie Case,#REF!,Grahj'am,#REF!,,,Jam Tart,#REF!,12,No,No
Pie Case,#REF!,Cactus Jelly,#REF!,,,Jam Tart,#REF!,13,Yes,Kind of
Pie Case,#REF!,Hexaberry,#REF!,,,Anomalous Tart,#REF!,9,No,No
Pie Case,#REF!,Anomalous Jam,#REF!,,,Anomalous Tart,#REF!,12,Yes,No
Pie Case,#REF!,Aloe Flesh,#REF!,,,Spikey Tart,#REF!,9,No,No
Pie Case,#REF!,Cactus Nectar,#REF!,,,Spikey Tart,#REF!,10,Yes,Kind of
Pie Case,#REF!,Sticky Honey,#REF!,,,Honey Tart,#REF!,9,No,Kind of
Pie Case,#REF!,Synthetic Honey,#REF!,,,Honey Tart,#REF!,10,Yes,Kind of
Pie Case,#REF!,Sweetroot,#REF!,,,Mushed Root Pie,#REF!,9,No,No
Pie Case,#REF!,Regis Grease,#REF!,,,Solidified Grease Pie,#REF!,9,No,Kind of
Pie Case,#REF!,Clarified Oil,#REF!,,,Solidified Grease Pie,#REF!,14,Yes,Kind of
Pie Case,#REF!,Proto-Oil,#REF!,,,Solidified Grease Pie,#REF!,14,Yes,Kind of
Pie Case,#REF!,Leopard-Fruit,#REF!,,,Jellied Fur Tart,#REF!,9,No,Kind of
Pie Case,#REF!,Furball Jelly,#REF!,,,Jellied Fur Tart,#REF!,12,Yes,Kind of
Pie Case,#REF!,Crab `Apple`,#REF!,,,Wriggling Tart,#REF!,9,No,Kind of
Pie Case,#REF!,Wriggling Jam,#REF!,,,Wriggling Tart,#REF!,12,Yes,Kind of
Pie Case,#REF!,Bittersweet Cocoa,#REF!,,,Cocoa Tart,#REF!,10,No,No
Pie Case,#REF!,Crunchy Caramel,#REF!,,,Caramel Tart,#REF!,11,No,Kind of
Pie Case,#REF!,Cream,#REF!,,,Creamy Treat,#REF!,10,No,Kind of
Pie Case,#REF!,Viscous Custard,#REF!,,,Custard Tart,#REF!,14,No,Kind of
Pie Case,#REF!,Salty Custard,#REF!,,,Custard Tart,#REF!,14,No,Kind of
Pie Case,#REF!,Monstrous Custard,#REF!,,,The Spawning Tart,#REF!,14,No,No
Pie Case,#REF!,Stellar Custard,#REF!,,,Stellar Custard Tart,#REF!,15,No,Kind of
Pie Case,#REF!,Tangy Cheese,#REF!,,,Baked Cheese Tart,#REF!,13,No,Kind of
Pie Case,#REF!,Proto-Cheese,#REF!,,,Baked Cheese Tart,#REF!,13,No,Kind of
Pie Case,#REF!,Tangy Cheese,#REF!,Solartillo,#REF!,Cheesy Vegetable Pie,#REF!,15,Yes,Kind of
Pie Case,#REF!,Tangy Cheese,#REF!,Jade Peas,#REF!,Cheesy Vegetable Pie,#REF!,14,No,No
Pie Case,#REF!,Tangy Cheese,#REF!,Sievert Beans,#REF!,Cheesy Vegetable Pie,#REF!,15,Yes,Kind of
Pie Case,#REF!,Tangy Cheese,#REF!,Pulpy Roots,#REF!,Cheesy Vegetable Pie,#REF!,14,No,No
Pie Case,#REF!,Tangy Cheese,#REF!,Aloe Flesh,#REF!,Cheesy Vegetable Pie,#REF!,14,No,No
Pie Case,#REF!,Proto-Cheese,#REF!,Solartillo,#REF!,Cheesy Vegetable Pie,#REF!,15,Yes,Kind of
Pie Case,#REF!,Proto-Cheese,#REF!,Jade Peas,#REF!,Cheesy Vegetable Pie,#REF!,14,No,No
Pie Case,#REF!,Proto-Cheese,#REF!,Sievert Beans,#REF!,Cheesy Vegetable Pie,#REF!,15,Yes,Kind of
Pie Case,#REF!,Proto-Cheese,#REF!,Pulpy Roots,#REF!,Cheesy Vegetable Pie,#REF!,14,No,No
Pie Case,#REF!,Proto-Cheese,#REF!,Aloe Flesh,#REF!,Cheesy Vegetable Pie,#REF!,14,No,No
Processed Meat,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,5,Yes,Yes
Smoked Meat,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,5,Yes,Yes
Smoked Meat,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,5,Yes,Yes
Meaty Chunks,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,Yes
Meaty Chunks,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,Yes
Meaty Chunks,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,Yes
Meaty Wings,#REF!,Meaty Wings,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Meaty Wings,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Meaty Wings,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Meaty Wings,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Meaty Wings,#REF!,Proto Sausage,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Meaty Wings,#REF!,Diplo Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Meaty Wings,#REF!,Scaly Meat,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Meaty Wings,#REF!,Strider Sausage,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Meaty Wings,#REF!,Raw Steak,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Proto Sausage,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Proto Sausage,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Proto Sausage,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Proto Sausage,#REF!,Diplo Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Proto Sausage,#REF!,Scaly Meat,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Proto Sausage,#REF!,Strider Sausage,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Proto Sausage,#REF!,Raw Steak,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Diplo Chunks,#REF!,Diplo Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Diplo Chunks,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Diplo Chunks,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Diplo Chunks,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Diplo Chunks,#REF!,Scaly Meat,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Diplo Chunks,#REF!,Strider Sausage,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Diplo Chunks,#REF!,Raw Steak,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Scaly Meat,#REF!,Scaly Meat,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Scaly Meat,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Scaly Meat,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Scaly Meat,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Scaly Meat,#REF!,Strider Sausage,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Scaly Meat,#REF!,Raw Steak,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Strider Sausage,#REF!,Strider Sausage,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Strider Sausage,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Strider Sausage,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Strider Sausage,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Strider Sausage,#REF!,Raw Steak,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Raw Steak,#REF!,Raw Steak,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Raw Steak,#REF!,Processed Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Raw Steak,#REF!,Meaty Chunks,#REF!,,,Mystery Meat Stew,#REF!,3,No,No
Raw Steak,#REF!,Smoked Meat,#REF!,,,Mystery Meat Stew,#REF!,4,Yes,No
Steamed Vegetables,#REF!,Impulse Beans,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Steamed Vegetables,#REF!,Solartillo,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Steamed Vegetables,#REF!,Jade Peas,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Steamed Vegetables,#REF!,Non-Toxic Mushrooms,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Steamed Vegetables,#REF!,Sievert Beans,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Steamed Vegetables,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Steamed Vegetables,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Impulse Beans,#REF!,Impulse Beans,#REF!,,,Fibrous Stew,#REF!,3,No,No
Impulse Beans,#REF!,Solartillo,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Impulse Beans,#REF!,Jade Peas,#REF!,,,Fibrous Stew,#REF!,3,No,No
Impulse Beans,#REF!,Non-Toxic Mushrooms,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Impulse Beans,#REF!,Sievert Beans,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Impulse Beans,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,3,No,No
Impulse Beans,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,3,No,No
Solartillo,#REF!,Solartillo,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Solartillo,#REF!,Jade Peas,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Solartillo,#REF!,Non-Toxic Mushrooms,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Solartillo,#REF!,Sievert Beans,#REF!,,,Fibrous Stew,#REF!,5,Yes,Yes
Solartillo,#REF!,Sweetroot,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Solartillo,#REF!,Pulpy Roots,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Jade Peas,#REF!,Jade Peas,#REF!,,,Fibrous Stew,#REF!,3,No,No
Jade Peas,#REF!,Non-Toxic Mushrooms,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
Jade Peas,#REF!,Sievert Beans,#REF!,,,Fibrous Stew,#REF!,4,Yes,No
